iteration:epoch=>83, loss=0.000179, best_epoch=82, best_VMSE=0.000179
iteration:epoch=>84, loss=0.000177, best_epoch=83, best_VMSE=0.000177
iteration:epoch=>85, loss=0.000176, best_epoch=84, best_VMSE=0.000176
iteration:epoch=>86, loss=0.000174, best_epoch=85, best_VMSE=0.000174
iteration:epoch=>87, loss=0.000172, best_epoch=86, best_VMSE=0.000172
iteration:epoch=>88, loss=0.00017, best_epoch=87, best_VMSE=0.00017
iteration:epoch=>89, loss=0.000169, best_epoch=88, best_VMSE=0.000169
iteration:epoch=>90, loss=0.000167, best_epoch=89, best_VMSE=0.000167
iteration:epoch=>91, loss=0.000166, best_epoch=90, best_VMSE=0.000166
iteration:epoch=>92, loss=0.000164, best_epoch=91, best_VMSE=0.000164
iteration:epoch=>93, loss=0.000163, best_epoch=92, best_VMSE=0.000163
iteration:epoch=>94, loss=0.000161, best_epoch=93, best_VMSE=0.000161
iteration:epoch=>95, loss=0.00016, best_epoch=94, best_VMSE=0.00016
iteration:epoch=>96, loss=0.000158, best_epoch=95, best_VMSE=0.000158
iteration:epoch=>97, loss=0.000157, best_epoch=96, best_VMSE=0.000157
iteration:epoch=>98, loss=0.000156, best_epoch=97, best_VMSE=0.000156
iteration:epoch=>99, loss=0.000155, best_epoch=98, best_VMSE=0.000155
iteration:epoch=>100, loss=0.000154, best_epoch=99, best_VMSE=0.000154
iteration:epoch=>101, loss=0.000152, best_epoch=100, best_VMSE=0.000152
iteration:epoch=>102, loss=0.000151, best_epoch=101, best_VMSE=0.000151
iteration:epoch=>103, loss=0.00015, best_epoch=102, best_VMSE=0.00015
iteration:epoch=>104, loss=0.000149, best_epoch=103, best_VMSE=0.000149
iteration:epoch=>105, loss=0.000148, best_epoch=104, best_VMSE=0.000148
iteration:epoch=>106, loss=0.000147, best_epoch=105, best_VMSE=0.000147
iteration:epoch=>107, loss=0.000146, best_epoch=106, best_VMSE=0.000146
iteration:epoch=>108, loss=0.000145, best_epoch=107, best_VMSE=0.000145
iteration:epoch=>109, loss=0.000144, best_epoch=108, best_VMSE=0.000144
iteration:epoch=>110, loss=0.000143, best_epoch=109, best_VMSE=0.000143
iteration:epoch=>111, loss=0.000143, best_epoch=110, best_VMSE=0.000143
iteration:epoch=>112, loss=0.000142, best_epoch=111, best_VMSE=0.000142
iteration:epoch=>113, loss=0.000141, best_epoch=112, best_VMSE=0.000141
iteration:epoch=>114, loss=0.00014, best_epoch=113, best_VMSE=0.00014
iteration:epoch=>115, loss=0.000139, best_epoch=114, best_VMSE=0.000139
iteration:epoch=>116, loss=0.000138, best_epoch=115, best_VMSE=0.000138
iteration:epoch=>117, loss=0.000137, best_epoch=116, best_VMSE=0.000137
iteration:epoch=>118, loss=0.000137, best_epoch=117, best_VMSE=0.000137
iteration:epoch=>119, loss=0.000136, best_epoch=118, best_VMSE=0.000136
iteration:epoch=>120, loss=0.000135, best_epoch=119, best_VMSE=0.000135
iteration:epoch=>121, loss=0.000134, best_epoch=120, best_VMSE=0.000134
iteration:epoch=>122, loss=0.000133, best_epoch=121, best_VMSE=0.000133
iteration:epoch=>123, loss=0.000133, best_epoch=122, best_VMSE=0.000133
iteration:epoch=>124, loss=0.000132, best_epoch=123, best_VMSE=0.000132
iteration:epoch=>125, loss=0.000131, best_epoch=124, best_VMSE=0.000131
iteration:epoch=>126, loss=0.00013, best_epoch=125, best_VMSE=0.00013
iteration:epoch=>127, loss=0.00013, best_epoch=126, best_VMSE=0.00013
iteration:epoch=>128, loss=0.000129, best_epoch=127, best_VMSE=0.000129
iteration:epoch=>129, loss=0.000128, best_epoch=128, best_VMSE=0.000128
iteration:epoch=>130, loss=0.000127, best_epoch=129, best_VMSE=0.000127
iteration:epoch=>131, loss=0.000127, best_epoch=130, best_VMSE=0.000127
iteration:epoch=>132, loss=0.000126, best_epoch=131, best_VMSE=0.000126
